dow,lake_name,between,degree
27013300,minnetonka,1,1
11020300,leech,2,2
69037800,vermilion,3,3
11030500,gull,5,4
18031200,cross lake reservoir,31,5
10005900,waconia,49,6
18037200,north long,36,7
4003500,red,19,8
29016100,long,17,9
27010400,medicine,63,10
69061600,crane,64,11
48000200,mille lacs,6,12
13001200,chisago,47,13
18003400,bay,78,14
73020000,koronis,35,15
31081300,bowstring,25,16
39000200,lake of the woods,91,17
31085700,cut foot sioux,38,18
2004200,coon,33,19
18030800,pelican,29,20
4013000,bemidji,9,21
4003000,cass,16,22
82015900,forest,14,23
16000100,superior,7,24
21005700,carlos,42,25
31053200,pokegama,10,26
27017600,independence,56,27
29015100,mantrap,55,28
29024300,potato,60,29
73019600,rice,65,30
21008300,miltona,21,31
1006200,big sandy,43,32
77008400,big birch,72,33
29014600,belle taine,89,34
69011800,burntside,8,35
10000900,minnewashta,66,36
11020100,woman,52,37
3038100,detroit,15,38
77021500,osakis,77,39
56014100,rush,39,40
86025200,clearwater,13,41
11014700,winnibigoshish,18,42
82016700,white bear,20,43
27011800,fish,50,44
86023300,sugar,53,45
69069300,namakan,45,46
31021600,trout,101,47
34007900,green,23,48
18030500,edward,113,49
18037500,hubert,76,50
21005600,le homme dieu,87,51
27001900,nokomis,303,52
11005900,washburn,132,53
27001600,harriet,170,54
29024200,fish hook,90,55
31071900,deer,44,56
4006900,blackduck,104,57
21009200,mary,97,58
11041300,ten mile,67,59
61013000,minnewaska,32,60
11004300,roosevelt,176,61
30010700,blue,708,62
18031000,whitefish,37,63
29007500,kabekona,102,64
69037200,island lake reservoir,58,65
11041200,birch,119,66
18031500,big trout,201,67
13004100,green,71,68
29018500,big sand,144,69
70002600,lower prior,30,70
69022400,lac la croix,40,71
49013700,fish trap,158,72
31085000,little winnibigoshish,124,73
29015600,plantagenet,54,74
31035300,split hand,110,75
21012300,ida,93,76
49007900,alexander,62,77
18009000,serpent,111,78
27003100,calhoun,105,79
86009000,buffalo,81,80
11006200,thunder,134,81
18021200,ruth,419,81
31082600,sand,120,83
25000100,pepin,114,84
2009100,george,159,85
27006700,bryant,41,86
86027900,west lake sylvia,61,87
11030400,sylvan,142,88
15001600,itasca,136,89
18037800,lower hay,88,90
61018000,emily,196,91
3008500,bad medicine,135,92
31006700,swan,155,93
69084100,pelican,150,94
21014400,lobster,145,95
38081100,fall,22,96
73015700,horseshoe,184,97
2000600,centerville,162,98
3057600,big cormorant,57,99
1015900,farm island,130,100
18037300,round,161,101
38064500,basswood,28,102
4004900,big,138,103
31038400,prairie,234,104
62000200,bald eagle,70,105
11041100,pine mountain,209,106
29003600,eleventh crow wing,109,107
82005200,big marine,69,108
10000200,riley,82,109
10000600,lotus,106,110
69047000,loon,51,111
86002300,beebe,112,112
62006100,turtle,185,113
31039200,wabana,68,114
11016700,little boy,140,115
29021600,george,310,116
3015800,many point,300,117
73010600,big fish,227,118
56013000,big pine,86,119
86005300,pulaski,165,120
13006900,rush,125,121
2000400,peltier,148,122
86022700,cedar,137,123
13002700,south center,171,124
31081200,ball club,172,125
30013600,green,792,126
71008200,big,283,127
1020900,cedar,118,128
18037900,white sand,233,129
11014300,boy,189,130
3001700,two inlets,381,131
13003200,north center,341,132
19000500,u.s. lock & dam #2 pool,96,133
69069400,rainy,4,134
15005700,long,356,135
18035200,ossawinnamakee,243,136
77015000,sauk,292,137
11038300,pleasant,276,138
73013800,two rivers,294,139
77008900,little birch,304,140
29007100,grace,167,141
30007200,long,352,142
3038700,floyd,191,143
18020300,emily,467,144
3015300,island,256,145
70007200,upper prior,85,146
2002600,linwood,139,147
18041200,upper hay,383,148
30013500,spectacle,480,149
56024200,otter tail,11,150
86003100,pelican,83,151
69061500,echo,195,151
86025100,pleasant,309,153
86013400,maple,183,154
73010200,big watab,1327,155
16014300,devil track,59,156
4015900,turtle,133,157
18003800,clearwater,307,158
21007900,maple,378,159
13006800,fish,460,160
69061700,sand point,129,161
69049800,trout,26,162
21029100,red rock,330,163
4012000,gull,153,164
4034300,clearwater,168,165
56013800,east battle,157,166
