"dow","id","acre","utm_x","utm_y","county","county_name","inspect","include_insp","infest","lake_name","accessible","ramp","ramp_per_acre","infest_zm","infest_ss","zm_suit","ss_suit","nLake50","nLake30","nLake20","nLake10","acre20","acre50","acre200","acre500","acre1000","acre2500","acreInf","countypop","d2HWYmeter","boatPerHour","nAccess","dataTraffic","annualTraffic1","annualTraffic2"
"16000100",0,962700,691855,5286010,"16","cook",1,1,1,"superior",1,24,2.49298846992833e-05,1,0,NA,NA,646,162,32,2,0,0,0,0,0,0,1,5286,0,0.883002208,16,30177.48344352,20025.66272604,11356.585
"39000200",1,307010,359760,5443439,"39","lake of the woods",1,1,1,"lake of the woods",1,2,6.51444578352497e-06,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,3814,201.6968663,1.194676409,2,5103.657619248,5103.657619248,5103.657619248
"4003500",2,288800,339750,5313306,"4","beltrami",1,1,1,"red",0,0,0,0,1,1,1,243,119,69,2,0,0,0,0,0,0,1,46106,52.23488128,0.774038462,1,NA,1653.346154832,5084.198
"48000200",3,132516,449784,5118046,"48","mille lacs",1,1,1,"mille lacs",1,17,0.000128286395605059,1,0,1,1,368,153,53,1,0,0,0,0,0,0,1,25866,3.394374084,2.55704698,12,65542.22819136,16483.109084184,10611.548
"11020300",4,109415,392208,5226306,"11","cass",1,1,1,"leech",1,4,3.65580587670795e-05,0,0,1,1,777,217,64,2,0,0,0,0,0,0,1,28993,0,1.370125092,8,23412.69758064,23412.69758064,23412.69758064
"11014700",5,69821,410659,5256013,"11","cass",1,1,1,"winnibigoshish",1,9,0.000128901046962948,1,1,1,1,618,109,57,8,0,0,0,0,0,0,1,28993,456.9405677,0.33968254,6,4353.371428368,16046.38591188,5434.594
"69069400",6,54140,507780,5380318,"69","saint louis",1,1,1,"rainy",1,8,0.000147765053564832,0,0,1,0,97,63,45,16,0,0,0,0,0,0,1,199980,0,1.48585287,7,22216.47211224,22216.47211224,22216.47211224
"69037800",7,49110,540078,5303033,"69","saint louis",1,1,1,"vermilion",0,0,0,0,0,1,0,351,109,23,5,0,0,0,0,0,0,1,199980,2.88196067,0.938142748,13,26050.34781792,26050.34781792,26050.34781792
"4003000",8,29775,384639,5253381,"4","beltrami",1,1,1,"cass",1,5,0.000167926112510495,0,1,1,1,536,154,80,17,0,0,0,0,0,0,1,46106,6.477808268,1.048920863,4,8961.979855608,11886.91435416,8468.764
"69084500",9,24800,503127,5366811,"69","saint louis",1,0,1,"kabetogama",1,5,0.000201612903225806,0,0,1,0,116,81,52,13,0,0,0,0,0,0,1,199980,2545.635532,NA,4,NA,11641.538707656,4685.3154
"31053200",10,15600,455257,5226890,"31","itasca",1,1,0,"pokegama",1,7,0.000448717948717949,0,0,1,1,741,251,94,31,0,0,0,0,0,0,1,45242,0,0.574378109,7,8588.101492176,8588.101492176,8588.101492176
"27013300",11,14310,456616,4976883,"27","hennepin",1,1,1,"minnetonka",0,0,0,1,0,1,1,505,216,132,36,0,0,0,0,0,0,1,1232483,98.31702554,3.885434859,11,91292.17742784,91292.17742784,91292.17742784
"56024200",12,13845,295500,5142483,"56","otter tail",1,1,1,"otter tail",1,6,0.000433369447453954,0,0,1,1,1020,486,159,32,0,0,0,0,0,0,1,58085,50.65902592,2.810526316,4,24013.13683536,17155.643352096,5828.106
"69011800",13,10236,576747,5309276,"69","saint louis",1,1,1,"burntside",1,6,0.000586166471277843,0,0,1,0,604,266,143,49,0,0,0,0,0,0,1,199980,1827.148442,0.665086888,5,7103.127961704,7103.127961704,7103.127961704
"11030500",14,9541,395754,5144497,"11","cass",1,1,1,"gull",1,6,0.000628864898857562,1,0,1,1,753,264,125,45,0,0,0,0,0,0,1,28993,9.151018015,2.949344978,3,18899.402619024,18899.402619024,18899.402619024
