dow,lake_name,acre,utm_x,utm_y,county,county_name,inspect,zm2019,ss2019,ew2019
16000100,superior,962700,691855,5286010,16,cook,1,1,0,1
39000200,lake of the woods,307010,359760,5443439,39,lake of the woods,1,0,0,0
4003500,red,288800,339750,5313306,4,beltrami,1,1,1,0
48000200,mille lacs,132516,449784,5118046,48,mille lacs,1,1,0,1
11020300,leech,109415,392208,5226306,11,cass,1,1,0,1
11014700,winnibigoshish,69821,410659,5256013,11,cass,1,1,1,0
69069400,rainy,54140,507780,5380318,69,saint louis,1,0,0,0
69037800,vermilion,49110,540078,5303033,69,saint louis,1,0,0,0
4003000,cass,29775,384639,5253381,4,beltrami,1,1,1,0
69084500,kabetogama,24800,503127,5366811,69,saint louis,1,0,0,0
31053200,pokegama,15600,455257,5226890,31,itasca,1,0,0,0
27013300,minnetonka,14310,456616,4976883,27,hennepin,1,1,0,1
56024200,otter tail,13845,295500,5142483,56,otter tail,1,1,0,0
69011800,burntside,10236,576747,5309276,69,saint louis,1,0,0,0
11030500,gull,9541,395754,5144497,11,cass,1,1,0,0
1006200,big sandy,9380,478522,5179164,1,aitkin,1,0,0,0
31081300,bowstring,8900,431622,5265612,31,itasca,1,0,0,0
18030800,pelican,8468,409955,5158505,18,crow wing,1,1,0,0
37004600,lac qui parle,8400,265621,4997767,37,lac qui parle,1,1,0,0
69037200,island lake reservoir,8280,561415,5207476,69,saint louis,1,0,0,0
18031000,whitefish,7969,406398,5170853,18,crow wing,1,1,0,0
16063300,saganaga,7880,654142,5341246,16,cook,1,0,0,0
56038300,dead,7827,288873,5151037,56,otter tail,1,0,0,0
61013000,minnewaska,7770,310731,5055102,61,pope,1,1,1,1
69000300,birch,7628,585983,5288017,69,saint louis,1,0,0,0
56074700,lida,7277,272704,5162677,56,otter tail,1,1,0,0
4013000,bemidji,6920,360839,5262770,4,beltrami,1,1,0,0
77021500,osakis,6768,336640,5086100,77,todd,1,1,0,0
18037200,north long,6178,404693,5143639,18,crow wing,1,1,0,0
21008300,miltona,5924,316216,5101018,21,douglas,1,1,0,0
34007900,green,5821,353579,5014338,34,kandiyohi,1,1,0,1
56023900,west battle,5672,295634,5130072,56,otter tail,1,1,0,0
11020100,woman,5360,403405,5201363,11,cass,1,0,0,0
16034800,brule,5204,671746,5312261,16,cook,1,0,0,0
69037500,whiteface reservoir,4980,563179,5239827,69,saint louis,1,0,0,0
56013000,big pine,4834,308373,5165121,56,otter tail,1,0,0,0
11041500,pike bay,4820,381520,5245561,11,cass,1,1,0,0
38052900,snowbank,4819,617628,5316806,38,lake,1,0,0,0
56038500,star,4809,284370,5155616,56,otter tail,1,0,0,0
11041300,ten mile,4640,380380,5203114,11,cass,1,1,0,0
21012300,ida,4506,313176,5096702,21,douglas,1,1,0,0
56078600,pelican,4314,269112,5176357,56,otter tail,1,1,0,0
56076000,lizzie,4145,268988,5168720,56,otter tail,1,1,0,0
3019500,height of land,3943,301316,5196467,3,becker,1,0,0,0
31071900,deer,3926,449462,5246963,31,itasca,1,0,0,0
61007800,reno,3818,311777,5068466,61,pope,1,1,0,0
31082600,sand,3785,424230,5274137,31,itasca,1,1,0,0
86025200,clearwater,3704,412316,5017445,86,wright,1,1,0,1
26000200,pelican,3680,283522,5104535,26,grant,1,0,0,0
4004900,big,3565,377805,5262876,4,beltrami,1,0,0,0
73020000,koronis,3471,365848,5021565,73,stearns,1,0,1,0
69000400,white iron,3429,588528,5301471,69,saint louis,1,0,0,0
11014300,boy,3404,412735,5217718,11,cass,1,0,0,0
3057600,big cormorant,3380,266117,5183661,3,becker,1,1,0,0
69049100,fish lake flowage,3260,555262,5198681,69,saint louis,1,0,0,0
31085700,cut foot sioux,3222,418110,5262722,31,itasca,1,0,0,0
10005900,waconia,3196,437932,4968688,10,carver,1,1,0,1
13006900,rush,3170,495740,5059842,13,chisago,1,0,0,1
56038600,big mcdonald,3096,288002,5162288,56,otter tail,1,1,0,0
3038100,detroit,3089,284496,5185986,3,becker,1,1,0,0
21005700,carlos,3017,316822,5092997,21,douglas,1,1,0,0
49007900,alexander,2990,380909,5118375,49,morrison,1,1,0,1
31089600,round,2959,412845,5274577,31,itasca,1,0,0,0
31091300,island,2920,406961,5297348,31,itasca,1,0,0,0
34008600,big kandiyohi,2877,347694,4984519,34,kandiyohi,1,0,0,0
41004300,benton,2875,241423,4909966,41,lincoln,1,0,0,0
18030500,edward,2844,411044,5151241,18,crow wing,1,1,0,0
31057600,bass,2844,451314,5240139,31,itasca,1,0,0,0
86003100,pelican,2793,439406,5008988,86,wright,1,0,0,1
4006900,blackduck,2742,378731,5287785,4,beltrami,1,0,0,0
69006900,shagawa,2639,583854,5307140,69,saint louis,1,0,0,0
